id,symboling,normalised-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight
12693,2,164,audi,gas,std,4,sedan,fwd,front,99.8,176.6,66.2,54.3,2337
26247,2,164,audi,gas,std,4,sedan,4wd,front,99.4,176.6,66.4,54.3,2824
28588,1,158,audi,gas,std,4,sedan,fwd,front,105.8,192.7,71.4,55.7,2844
21463,1,158,audi,gas,turbo,4,sedan,fwd,front,105.8,192.7,71.4,55.9,3086
31110,2,192,bmw,gas,std,2,sedan,rwd,front,101.2,176.8,64.8,54.3,2395
23231,0,192,bmw,gas,std,4,sedan,rwd,front,101.2,176.8,64.8,54.3,2395
18413,0,188,bmw,gas,std,2,sedan,rwd,front,101.2,176.8,64.8,54.3,2710
12065,0,188,bmw,gas,std,4,sedan,rwd,front,101.2,176.8,64.8,54.3,2765
12366,2,121,chevrolet,gas,std,2,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488
29210,1,98,chevrolet,gas,std,2,hatchback,fwd,front,94.5,155.9,63.6,52,1874
18335,0,81,chevrolet,gas,std,4,sedan,fwd,front,94.5,158.8,63.6,52,1909
18388,1,118,dodge,gas,std,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876
23161,1,118,dodge,gas,std,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876
11063,1,118,dodge,gas,turbo,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128
20021,1,148,dodge,gas,std,4,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967
10019,1,148,dodge,gas,std,4,sedan,fwd,front,93.7,157.3,63.8,50.6,1989
14908,1,148,dodge,gas,std,4,sedan,fwd,front,93.7,157.3,63.8,50.6,1989
29388,-1,110,dodge,gas,std,4,wagon,fwd,front,103.3,174.6,64.6,59.8,2535
19373,3,145,dodge,gas,turbo,2,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811
19551,2,137,honda,gas,std,2,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713
38774,2,137,honda,gas,std,2,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819
39711,1,101,honda,gas,std,2,hatchback,fwd,front,93.7,150,64,52.6,1837
39496,1,101,honda,gas,std,2,hatchback,fwd,front,93.7,150,64,52.6,1940
22146,1,101,honda,gas,std,2,hatchback,fwd,front,93.7,150,64,52.6,1956
15297,0,110,honda,gas,std,4,sedan,fwd,front,96.5,163.4,64,54.5,2010
38673,0,78,honda,gas,std,4,wagon,fwd,front,96.5,157.1,63.9,58.3,2024
31407,0,106,honda,gas,std,2,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236
16240,0,106,honda,gas,std,2,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289
12645,0,85,honda,gas,std,4,sedan,fwd,front,96.5,175.4,65.2,54.1,2304
30378,0,85,honda,gas,std,4,sedan,fwd,front,96.5,175.4,62.5,54.1,2372
39003,0,85,honda,gas,std,4,sedan,fwd,front,96.5,175.4,65.2,54.1,2465
29762,1,107,honda,gas,std,2,sedan,fwd,front,96.5,169.1,66,51,2293
28985,0,145,jaguar,gas,std,4,sedan,rwd,front,113,199.6,69.6,52.8,4066
22822,1,104,mazda,gas,std,2,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890
18127,1,104,mazda,gas,std,2,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900
32632,1,104,mazda,gas,std,2,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905
25311,1,113,mazda,gas,std,4,sedan,fwd,front,93.1,166.8,64.2,54.1,1945
28332,1,113,mazda,gas,std,4,sedan,fwd,front,93.1,166.8,64.2,54.1,1950
21178,1,129,mazda,gas,std,2,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385
25328,0,115,mazda,gas,std,4,sedan,fwd,front,98.8,177.8,66.5,55.5,2410
14325,1,129,mazda,gas,std,2,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385
22679,0,115,mazda,gas,std,4,sedan,fwd,front,98.8,177.8,66.5,55.5,2410
34856,0,115,mazda,gas,std,4,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425
19701,0,118,mazda,gas,std,4,sedan,rwd,front,104.9,175,66.1,54.4,2670
17725,-1,93,mercedes-benz,diesel,turbo,4,sedan,rwd,front,110,190.9,70.3,56.5,3515
32355,-1,93,mercedes-benz,diesel,turbo,4,wagon,rwd,front,110,190.9,70.3,58.7,3750
38081,0,93,mercedes-benz,diesel,turbo,2,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495
24576,-1,93,mercedes-benz,diesel  ,turbo,4,sedan,rwd,front,115.6,202.6,71.7,56.3,3770
15685,3,142,mercedes-benz,gas,std,2,convertible,rwd,front,96.6,180.3,70.5,50.8,3685
