id,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
12693,ohc,four,109,mpfi,3.19,3.4,10,102,5500,24,30,13950
26247,ohc,five,136,mpfi,3.19,3.4,8,115,5500,18,22,17450
28588,ohc,five,136,mpfi,3.19,3.4,8.5,1100,5500,19,25,17710
21463,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500,17,20,23875
31110,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16430
23231,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16925
18413,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,28,20970
12065,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,28,21105
12366,l,three,61,2bbl,2.91,3.03,9.5,48,5100,47,53,5151
29210,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6295
18335,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6575
18388,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500,37,41,5572
23161,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6377
11063,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,7957
20021,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229
10019,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692
14908,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7609
29388,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000,24,30,8921
19373,ohc,four,156,mfi,3.6,3.9,7,145,5000,19,24,12964
19551,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800,49,54,6479
38774,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,31,38,6855
39711,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500,38,42,5399
39496,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,6529
22146,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7129
15297,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7295
38673,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000,30,34,7295
31407,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,7895
16240,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,9095
12645,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,8845
30378,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,10295
39003,ohc,four,110,mpfi,3.15,3.58,9,101,5800,24,28,12945
29762,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500,25,31,10345
28985,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,32250
22822,ohc,four,91,2bbl,3.03,3.15,9,68,5000,30,31,5195
18127,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,6095
32632,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,6795
25311,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,6695
28332,ohc,four,91,2bbl,3.08,3.15,9,68,5000,31,38,7395
